row	step	emb	level	variant	n	mean_peak	sr80	sr95	never_moved	budget	seeds0-39_mean
ctA	30000	chain	0	cfg1	80	0.514	13/80	3/80	16	688	0.483
ctA	30000	chain	0	cfgemb	80	0.258	6/80	1/80	48	688	0.278
ctA	30000	usocket	0	cfg1	80	0.436	18/80	5/80	32	318	0.415
ctA	30000	usocket	0	cfgemb	80	0.397	12/80	3/80	31	318	0.429
ctA	60000	chain	0	cfg1	80	0.564	15/80	6/80	12	688	0.556
ctA	60000	chain	0	cfgemb	80	0.285	8/80	2/80	44	688	0.310
ctA	60000	usocket	0	cfg1	80	0.603	24/80	14/80	13	318	0.619
ctA	60000	usocket	0	cfgemb	80	0.498	23/80	8/80	27	318	0.471
ctA	90000	chain	0	cfg1	80	0.598	25/80	12/80	14	688	0.637
ctA	90000	chain	0	cfgemb	80	0.317	8/80	1/80	42	688	0.265
ctA	90000	usocket	0	cfg1	80	0.636	25/80	18/80	11	318	0.637
ctA	90000	usocket	0	cfgemb	80	0.587	30/80	7/80	18	318	0.588
ctA	120000	chain	0	cfg1	80	0.611	21/80	10/80	13	688	0.591
ctA	120000	chain	0	cfgemb	80	0.351	10/80	1/80	37	688	0.427
ctA	120000	usocket	0	cfg1	80	0.715	36/80	30/80	8	318	0.719
ctA	120000	usocket	0	cfgemb	80	0.597	29/80	15/80	17	318	0.580
ctA	120000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctA	120000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctA	120000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctA	120000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctA	120000	usocket	3	cfg1	5	0.000	0/5	0/5	5	378	0.000
ctA	120000	usocket	3	cfgemb	5	0.000	0/5	0/5	5	378	0.000
ctA	120000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctA	120000	usocket	4	cfgemb	5	0.000	0/5	0/5	5	333	0.000
ctA	120000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctA	120000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctA	120000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctA	120000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctA	120000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctA	120000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctA	120000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctA	120000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctA	120000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctA	120000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctA	120000	usocket	10	cfg1	5	0.000	0/5	0/5	5	368	0.000
ctA	120000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctA	120000	usocket	11	cfg1	5	0.000	0/5	0/5	5	323	0.000
ctA	120000	usocket	11	cfgemb	5	0.029	0/5	0/5	4	323	0.029
ctA	120000	usocket	12	cfg1	5	0.000	0/5	0/5	5	338	0.000
ctA	120000	usocket	12	cfgemb	5	0.000	0/5	0/5	5	338	0.000
ctA	120000	usocket	13	cfg1	5	0.175	0/5	0/5	3	380	0.175
ctA	120000	usocket	13	cfgemb	5	0.000	0/5	0/5	5	380	0.000
ctA	120000	usocket	14	cfg1	5	0.098	0/5	0/5	3	348	0.098
ctA	120000	usocket	14	cfgemb	5	0.009	0/5	0/5	5	348	0.009
ctA	120000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctA	120000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctA	120000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctA	120000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctA	120000	usocket	17	cfg1	5	0.000	0/5	0/5	5	476	0.000
ctA	120000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
ctA	120000	usocket	18	cfg1	5	0.000	0/5	0/5	5	501	0.000
ctA	120000	usocket	18	cfgemb	5	0.000	0/5	0/5	5	501	0.000
ctA	120000	usocket	19	cfg1	5	0.000	0/5	0/5	5	519	0.000
ctA	120000	usocket	19	cfgemb	5	0.000	0/5	0/5	5	519	0.000
ctA	120000	usocket	20	cfg1	5	0.000	0/5	0/5	5	564	0.000
ctA	120000	usocket	20	cfgemb	5	0.000	0/5	0/5	5	564	0.000
ctA	120000	usocket	21	cfg1	5	0.000	0/5	0/5	5	451	0.000
ctA	120000	usocket	21	cfgemb	5	0.000	0/5	0/5	5	451	0.000
ctA	120000	usocket	22	cfg1	5	0.083	0/5	0/5	4	389	0.083
ctA	120000	usocket	22	cfgemb	5	0.000	0/5	0/5	5	389	0.000
ctA	120000	usocket	23	cfg1	5	0.237	0/5	0/5	3	319	0.237
ctA	120000	usocket	23	cfgemb	5	0.077	0/5	0/5	4	319	0.077
ctA	120000	usocket	24	cfg1	5	0.050	0/5	0/5	4	291	0.050
ctA	120000	usocket	24	cfgemb	5	0.037	0/5	0/5	4	291	0.037
ctA	120000	usocket	25	cfg1	5	0.000	0/5	0/5	5	330	0.000
ctA	120000	usocket	25	cfgemb	5	0.000	0/5	0/5	5	330	0.000
ctA	120000	usocket	26	cfg1	5	0.000	0/5	0/5	5	362	0.000
ctA	120000	usocket	26	cfgemb	5	0.077	0/5	0/5	4	362	0.077
ctA	120000	usocket	27	cfg1	5	0.000	0/5	0/5	5	472	0.000
ctA	120000	usocket	27	cfgemb	5	0.000	0/5	0/5	5	472	0.000
ctA	120000	usocket	28	cfg1	5	0.000	0/5	0/5	5	548	0.000
ctA	120000	usocket	28	cfgemb	5	0.000	0/5	0/5	5	548	0.000
