Method,libero_spatial,libero_object,libero_goal,libero_10
Native OAT,61.68,0.36,75.52,59.44
ARC U-Net / STK1,67.32,52.8,82.2,51.88
ARC U-Net / STK2,68.36,52.36,84.64,52.96
ARC U-Net / DUR1,66.32,53.64,89.56,55.16
ARC U-Net / DUR2,68.32,63.72,87.28,55.44
ARC U-Net / shared STK,66.36,58.88,84.84,57.16
ARC U-Net / shared DUR,68.08,59.64,88.96,53.52
ARC OAT-DP / STK1,76.16,,87.0,67.88
ARC OAT-DP / STK2,76.16,0.0,81.32,70.12
ARC OAT-DP / DUR1,73.76,,,68.76
ARC OAT-DP / DUR2,,,83.48,71.68
ARC OAT-DP / shared STK,,,,
ARC OAT-DP / shared DUR,,,,
Plain DP / U-Net,,,85.68,
Plain DP / OAT-release,,,,
