suite,architecture,profile,arc_mode,episodes,arc_successes,plain_successes,arc_full_evaluation,baseline_full_evaluation,identities_and_initial_states_match,arc_run,plain_run
libero_spatial,unet,stk_1,stk,292,182,77,True,False,True,arc-paired-s03-20260925-stk1-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,stk_1,stk,1971,1065,1006,True,False,True,arc-cache-arc-20260923-stk1-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,stk_1,stk,2500,2055,2142,True,True,True,arc-cache-arc-20260923-stk1-goal,dp-eval-r3-20260926-unet-goal
libero_spatial,unet,stk_2,stk,292,171,77,True,False,True,arc-paired-s03-20260925-stk2-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,stk_2,stk,1971,1051,1006,True,False,True,arc-cache-arc-20260923-stk2-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,stk_2,stk,2500,2116,2142,True,True,True,arc-cache-arc-20260923-stk2-goal,dp-eval-r3-20260926-unet-goal
libero_10,unet,stk_2,stk,1603,952,911,True,False,True,arc-paired-s03-20260925-stk2-10,dp-eval-r3-20260926-unet-10
libero_spatial,unet,dur_1,dur,292,147,77,True,False,True,arc-paired-s03-20260925-dur1-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,dur_1,dur,1971,1064,1006,True,False,True,arc-cache-arc-20260923-dur1-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,dur_1,dur,2500,2239,2142,True,True,True,arc-cache-arc-20260923-dur1-goal,dp-eval-r3-20260926-unet-goal
libero_10,unet,dur_1,dur,1603,1039,911,True,False,True,arc-paired-s03-20260925-dur1-10,dp-eval-r3-20260926-unet-10
libero_spatial,unet,dur_2,dur,292,156,77,True,False,True,arc-paired-s03-20260925-dur2-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,dur_2,dur,1971,1325,1006,True,False,True,arc-cache-arc-20260923-dur2-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,dur_2,dur,2500,2182,2142,True,True,True,arc-cache-arc-20260923-dur2-goal,dp-eval-r3-20260926-unet-goal
libero_10,unet,dur_2,dur,1603,1041,911,True,False,True,arc-paired-s03-20260925-dur2-10,dp-eval-r3-20260926-unet-10
libero_spatial,unet,shared,stk,292,169,77,True,False,True,arc-paired-s03-20260925-shared-stk-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,shared,stk,1971,1162,1006,True,False,True,arc-cache-arc-20260923-shared-stk-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,shared,stk,2500,2121,2142,True,True,True,arc-cache-arc-20260923-shared-stk-goal,dp-eval-r3-20260926-unet-goal
libero_10,unet,shared,stk,1603,1022,911,True,False,True,arc-paired-s03-20260925-shared-stk-10,dp-eval-r3-20260926-unet-10
libero_spatial,unet,shared,dur,292,190,77,True,False,True,arc-paired-s03-20260925-shared-dur-spatial,dp-eval-r3-20260926-unet-spatial
libero_object,unet,shared,dur,1971,1236,1006,True,False,True,arc-cache-arc-20260923-shared-dur-object,dp-eval-r3-20260926-unet-object
libero_goal,unet,shared,dur,2500,2224,2142,True,True,True,arc-cache-arc-20260923-shared-dur-goal,dp-eval-r3-20260926-unet-goal
libero_10,unet,shared,dur,1603,982,911,True,False,True,arc-paired-s03-20260925-shared-dur-10,dp-eval-r3-20260926-unet-10
libero_10,unet,stk_1,stk,1603,924,911,True,False,True,arc-eval-l40s-20260924-stk1-10,dp-eval-r3-20260926-unet-10
libero_spatial,oat_dp,stk_1,stk,2270,1738,1528,True,False,True,arc-dpr-20260925-stk1-spatial,dp-eval-r3-20260926-oat-spatial
libero_goal,oat_dp,stk_1,stk,524,487,497,True,False,True,arc-dp-20260924-stk1-goal,dp-eval-r2-20260926-oat-goal
libero_10,oat_dp,stk_1,stk,346,65,100,True,False,True,arc-dp-l40s-20260924-stk1-10,dp-eval-r3-20260926-oat-10
libero_spatial,oat_dp,stk_2,stk,2270,1725,1528,True,False,True,arc-dpr-20260925-stk2-spatial,dp-eval-r3-20260926-oat-spatial
libero_object,oat_dp,stk_2,stk,954,0,0,True,False,True,arc-dpr-20260925-stk2-object,dp-eval-r3-20260926-oat-object
libero_goal,oat_dp,stk_2,stk,524,496,497,True,False,True,arc-dp-20260924-stk2-goal,dp-eval-r2-20260926-oat-goal
libero_10,oat_dp,stk_2,stk,346,102,100,True,False,True,arc-dp-l40s-20260924-stk2-10,dp-eval-r3-20260926-oat-10
libero_spatial,oat_dp,dur_1,dur,2270,1692,1528,True,False,True,arc-dp-20260924-dur1-spatial,dp-eval-r3-20260926-oat-spatial
libero_10,oat_dp,dur_1,dur,346,81,100,True,False,True,arc-dp-l40s-20260924-dur1-10,dp-eval-r3-20260926-oat-10
libero_goal,oat_dp,dur_2,dur,524,486,497,True,False,True,arc-dpr-20260925-dur2-goal,dp-eval-r2-20260926-oat-goal
libero_10,oat_dp,dur_2,dur,346,94,100,True,False,True,arc-dpr-20260925-dur2-10,dp-eval-r3-20260926-oat-10
libero_10,oat_dp,shared,stk,346,85,100,False,False,True,arc-dpr-20260925-shared-stk-10,dp-eval-r3-20260926-oat-10
libero_10,oat_dp,shared,dur,346,78,100,False,False,True,arc-dpr-20260925-shared-dur-10,dp-eval-r3-20260926-oat-10
