embodiment,role,arm,peak_coverage_mean,peak_coverage_median,SR@0.80,SR@0.95,episodes,budget
u_socket,in-domain,dur_M56,0.1030,0.0000,0.025,0.0,40,626
u_socket,in-domain,stk_M56,0.1162,0.0000,0.025,0.0,40,626
u_socket,in-domain,dur_M16,0.1065,0.0000,0.025,0.0,40,626
u_socket,in-domain,stk_M16,0.0926,0.0000,0.0,0.0,40,626
u_socket,in-domain,DP,0.0784,0.0000,0.025,0.0,40,626
gripper,in-domain,dur_M56,0.0444,0.0000,0.0,0.0,40,636
gripper,in-domain,stk_M56,0.0447,0.0000,0.0,0.0,40,636
gripper,in-domain,dur_M16,0.0360,0.0000,0.025,0.0,40,636
gripper,in-domain,stk_M16,0.0875,0.0000,0.0,0.0,40,636
gripper,in-domain,DP,0.0226,0.0000,0.0,0.0,40,636
chain_gripper,in-domain,dur_M56,0.0890,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,stk_M56,0.0620,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,dur_M16,0.0576,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,stk_M16,0.0785,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,DP,0.0567,0.0000,0.0,0.0,40,659
suction,in-domain,dur_M56,0.3592,0.4569,0.075,0.05,40,2218
umi,held-out,dur_M56,0.0006,0.0000,0.0,0.0,40,752
umi,held-out,stk_M56,0.0575,0.0000,0.0,0.0,40,752
umi,held-out,dur_M16,0.0006,0.0000,0.0,0.0,40,752
umi,held-out,stk_M16,0.0385,0.0000,0.0,0.0,40,752
umi,held-out,DP,0.0309,0.0000,0.0,0.0,40,752
