embodiment,role,arm,peak_coverage_mean,peak_coverage_median,SR@0.80,SR@0.95,episodes,budget
u_socket,in-domain,dur_M56,0.1030,0.0000,0.025,0.0,40,626
u_socket,in-domain,stk_M56,0.1162,0.0000,0.025,0.0,40,626
u_socket,in-domain,dur_M16,0.1065,0.0000,0.025,0.0,40,626
u_socket,in-domain,stk_M16,0.0926,0.0000,0.0,0.0,40,626
u_socket,in-domain,DP,0.0784,0.0000,0.025,0.0,40,626
gripper,in-domain,dur_M56,0.0444,0.0000,0.0,0.0,40,636
gripper,in-domain,stk_M56,0.0447,0.0000,0.0,0.0,40,636
gripper,in-domain,dur_M16,0.0360,0.0000,0.025,0.0,40,636
gripper,in-domain,stk_M16,0.0875,0.0000,0.0,0.0,40,636
gripper,in-domain,DP,0.0226,0.0000,0.0,0.0,40,636
chain_gripper,in-domain,dur_M56,0.0890,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,stk_M56,0.0620,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,dur_M16,0.0576,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,stk_M16,0.0785,0.0000,0.0,0.0,40,659
chain_gripper,in-domain,DP,0.0567,0.0000,0.0,0.0,40,659
suction,in-domain,dur_M56,0.3592,0.4569,0.075,0.05,40,2218
suction,in-domain,stk_M56,0.3817,0.0000,0.125,0.075,40,2218
suction,in-domain,dur_M16,0.2207,0.0000,0.05,0.025,40,2218
suction,in-domain,stk_M16,0.2547,0.0000,0.025,0.0,40,2218
suction,in-domain,DP,0.2793,0.0000,0.1,0.025,40,2218
triangle,in-domain,dur_M56,0.5572,0.5420,0.125,0.025,40,4826
triangle,in-domain,stk_M56,0.6925,0.6293,0.35,0.075,40,4826
triangle,in-domain,dur_M16,0.6097,0.6633,0.225,0.0,40,4826
triangle,in-domain,stk_M16,0.7104,0.6825,0.325,0.05,40,4826
triangle,in-domain,DP,0.6010,0.6000,0.15,0.0,40,4826
flipper,in-domain,dur_M56,0.4666,0.5072,0.1,0.0,40,4842
flipper,in-domain,stk_M56,0.5319,0.5748,0.2,0.05,40,4842
flipper,in-domain,dur_M16,0.5193,0.5337,0.125,0.025,40,4842
flipper,in-domain,stk_M16,0.5879,0.6023,0.275,0.025,40,4842
flipper,in-domain,DP,0.4366,0.5167,0.05,0.0,40,4842
spring,in-domain,dur_M56,0.5445,0.6661,0.125,0.025,40,5055
spring,in-domain,stk_M56,0.5874,0.5199,0.15,0.0,40,5055
spring,in-domain,dur_M16,0.5719,0.5947,0.2,0.05,40,5055
spring,in-domain,stk_M16,0.6024,0.6199,0.15,0.025,40,5055
spring,in-domain,DP,0.4826,0.6527,0.05,0.0,40,5055
umi,held-out,dur_M56,0.0006,0.0000,0.0,0.0,40,752
umi,held-out,stk_M56,0.0575,0.0000,0.0,0.0,40,752
umi,held-out,dur_M16,0.0006,0.0000,0.0,0.0,40,752
umi,held-out,stk_M16,0.0385,0.0000,0.0,0.0,40,752
umi,held-out,DP,0.0309,0.0000,0.0,0.0,40,752
scoop,held-out,dur_M56,0.0490,0.0000,0.0,0.0,40,5365
scoop,held-out,stk_M56,0.0282,0.0000,0.0,0.0,40,5365
scoop,held-out,dur_M16,0.0504,0.0000,0.0,0.0,40,5365
scoop,held-out,stk_M16,0.0516,0.0000,0.0,0.0,40,5365
scoop,held-out,DP,0.0247,0.0000,0.0,0.0,40,5365
