seed,arc_duration_M16,arc_duration_M36
0,0.9291,0.95
1,0.7584,0.6891
2,0.6595,0.6708
3,0.0,0.6152
4,0.7231,0.0
5,0.1569,0.5986
6,0.6281,0.688
7,0.6952,0.632
8,0.6464,0.0
9,0.0,0.5906
10,0.9158,0.9518
11,0.6861,0.9123
12,0.6919,0.0
13,0.0,0.6918
14,0.677,0.8994
15,0.3602,0.0
16,0.0,0.4404
17,0.0,0.2132
18,0.6739,0.0
19,0.0,0.0
20,0.6586,0.6216
21,0.7087,0.6845
22,0.6896,0.9476
23,0.6907,0.9055
24,0.9563,0.0
25,0.0,0.0
26,0.5479,0.9616
27,0.6347,0.6677
28,0.6919,0.0
29,0.0,0.6903
30,0.9536,0.6722
31,0.0,0.0837
32,0.6863,0.9503
33,0.1003,0.6883
34,0.0,0.0
35,0.7248,0.6383
36,0.4549,0.7601
37,0.4294,0.4023
38,0.9001,0.0
39,0.0,0.7042
