seed,arc_dur_paper,arc_stk_paper,dp_paper
0,0.9589,0.9558,0.9557
1,0.8515,0.7867,0.0
2,0.6587,0.6829,0.0213
3,0.6346,0.0,0.9437
4,0.594,0.9507,0.0
5,0.4844,0.5438,0.9581
6,0.6792,0.6778,0.6828
7,0.0,0.6763,0.6684
8,0.663,0.3804,0.6926
9,0.9583,0.9504,0.9529
10,0.0,0.9565,0.0
11,0.6265,0.802,0.6016
12,0.6479,0.6812,0.0
13,0.6926,0.0,0.0
14,0.6321,0.9538,0.9569
15,0.6075,0.0,0.5425
16,0.6167,0.0,0.6653
17,0.0,0.0,0.4618
18,0.5891,0.6137,0.6562
19,0.9326,0.0,0.5601
20,0.3915,0.26,0.5914
21,0.0,0.9632,0.9509
22,0.6675,0.6875,0.6885
23,0.683,0.9246,0.7232
24,0.9533,0.0,0.8226
25,0.0,0.8736,0.0
26,0.8983,0.6664,0.9526
27,0.6326,0.6393,0.5923
28,0.6699,0.675,0.6753
29,0.8044,0.5917,0.8319
30,0.8963,0.6921,0.6895
31,0.8279,0.0,0.0
32,0.0,0.6813,0.9537
33,0.9629,0.9546,0.9501
34,0.0,0.0,0.0
35,0.6928,0.6566,0.6927
36,0.6533,0.9392,0.4713
37,0.3904,0.9544,0.6814
38,0.6884,0.9521,0.9509
39,0.9508,0.0,0.6829
